iter	Passed	Remaining
552	5981	4835
553	5992	4824
554	6014	4822
555	6049	4831
556	6056	4817
557	6068	4806
558	6078	4795
559	6100	4793
560	6136	4801
561	6157	4798
562	6170	4789
563	6213	4802
564	6234	4799
565	6246	4789
566	6254	4776
567	6268	4767
568	6285	4761
569	6302	4754
570	6315	4745
571	6347	4749
572	6364	4742
573	6378	4734
574	6390	4723
575	6408	4717
576	6419	4706
577	6441	4703
578	6471	4705
579	6481	4693
580	6517	4700
581	6539	4696
582	6555	4688
583	6595	4698
584	6630	4703
585	6651	4699
586	6660	4686
587	6712	4703
588	6770	4724
589	6787	4717
590	6797	4704
591	6831	4707
592	6847	4699
593	6859	4688
594	6877	4681
595	6915	4687
596	6922	4672
597	6929	4658
598	6936	4643
599	6978	4652
600	6995	4644
601	7016	4638
602	7034	4631
603	7060	4628
604	7069	4615
605	7087	4608
606	7094	4593
607	7125	4593
608	7140	4584
609	7166	4581
610	7177	4569
611	7189	4557
612	7198	4544
613	7226	4542
614	7248	4537
615	7276	4536
616	7293	4527
617	7300	4512
618	7323	4507
619	7343	4500
620	7360	4491
621	7377	4483
622	7388	4471
623	7408	4464
624	7424	4454
625	7435	4442
626	7458	4437
627	7468	4423
628	7477	4410
629	7487	4397
630	7506	4389
631	7526	4382
632	7545	4374
633	7579	4375
634	7594	4365
635	7603	4351
636	7617	4340
637	7632	4330
638	7652	4323
639	7666	4312
640	7682	4302
641	7711	4299
642	7726	4290
643	7745	4281
644	7759	4270
645	7773	4259
646	7782	4246
647	7797	4235
648	7810	4223
649	7819	4210
650	7848	4207
651	7861	4196
652	7873	4183
653	7880	4169
654	7907	4165
655	7915	4150
656	7923	4136
657	7940	4127
658	7961	4119
659	7969	4105
660	7978	4091
661	7999	4084
662	8014	4073
663	8049	4073
664	8057	4058
665	8083	4054
666	8110	4049
667	8133	4042
668	8141	4028
669	8148	4013
670	8160	4001
671	8188	3996
672	8197	3982
673	8215	3973
674	8228	3961
675	8246	3952
676	8256	3939
677	8279	3931
678	8290	3919
679	8297	3904
680	8340	3906
681	8346	3891
682	8354	3877
683	8361	3862
684	8412	3868
685	8434	3860
686	8442	3846
687	8467	3840
688	8484	3829
689	8502	3819
690	8527	3813
691	8534	3798
692	8541	3784
693	8550	3769
694	8572	3761
695	8582	3748
696	8590	3734
697	8598	3720
698	8619	3711
699	8630	3698
700	8640	3685
701	8666	3678
702	8711	3680
703	8719	3665
704	8727	3652
705	8767	3651
706	8779	3638
707	8786	3623
708	8794	3609
709	8826	3605
710	8834	3590
711	8846	3578
712	8861	3566
713	8898	3564
714	8912	3552
715	8930	3542
716	8945	3530
717	8997	3533
718	9011	3521
719	9023	3509
720	9036	3496
721	9071	3492
722	9085	3480
723	9098	3468
724	9108	3454
725	9124	3443
726	9136	3430
727	9153	3420
728	9224	3429
729	9235	3415
730	9266	3409
731	9286	3399
732	9314	3392
733	9328	3380
734	9346	3369
735	9366	3359
736	9390	3350
737	9410	3340
738	9433	3331
739	9505	3339
740	9519	3327
741	9542	3318
742	9562	3307
743	9580	3296
744	9600	3286
745	9615	3273
746	9641	3265
747	9666	3256
748	9682	3244
749	9704	3234
750	9724	3224
751	9816	3237
752	9824	3222
753	9940	3243
754	9949	3228
755	10004	3229
756	10015	3214
757	10021	3199
758	10032	3185
759	10038	3170
760	10085	3167
761	10095	3153
762	10102	3137
763	10111	3123
764	10136	3113
765	10169	3106
766	10178	3092
767	10186	3077
768	10203	3064
769	10218	3052
770	10230	3038
771	10240	3024
772	10255	3011
773	10263	2996
774	10270	2981
775	10280	2967
776	10296	2955
777	10306	2940
778	10313	2925
779	10328	2913
780	10337	2898
781	10345	2884
782	10359	2871
783	10376	2858
784	10385	2844
785	10392	2829
786	10399	2814
787	10415	2802
788	10436	2791
789	10444	2776
790	10475	2767
791	10486	2754
792	10495	2739
793	10502	2724
794	10518	2712
795	10525	2697
796	10532	2682
797	10540	2668
798	10573	2659
799	10584	2646
800	10591	2631
801	10599	2616
802	10606	2602
803	10622	2589
804	10639	2577
805	10655	2564
806	10669	2551
807	10676	2537
808	10687	2523
809	10697	2509
810	10704	2494
811	10727	2483
812	10743	2471
813	10750	2456
814	10771	2445
815	10783	2431
816	10797	2418
817	10821	2407
818	10830	2393
819	10837	2379
820	10851	2365
821	10867	2353
822	10875	2338
823	10884	2324
824	10896	2311
825	10905	2297
826	10915	2283
827	10924	2269
828	10933	2255
829	10947	2242
830	10965	2229
831	10979	2217
832	10991	2203
833	11002	2190
834	11014	2176
835	11024	2162
836	11034	2148
837	11042	2134
838	11091	2128
839	11123	2118
840	11138	2105
841	11160	2094
842	11212	2088
843	11259	2081
844	11270	2067
845	11281	2053
846	11302	2041
847	11329	2030
848	11351	2018
849	11372	2006
850	11392	1994
851	11430	1985
852	11447	1972
853	11465	1960
854	11479	1946
855	11499	1934
856	11522	1922
857	11540	1909
858	11559	1897
859	11591	1886
860	11612	1874
861	11636	1862
862	11662	1851
863	11690	1840
864	11712	1828
865	11730	1815
866	11761	1804
867	11780	1791
868	11792	1777
869	11810	1764
870	11842	1753
871	11849	1739
872	11860	1725
873	11875	1712
874	11922	1703
875	11932	1689
876	11974	1679
877	12000	1667
878	12017	1654
879	12025	1639
880	12065	1629
881	12088	1617
882	12111	1604
883	12122	1590
884	12129	1576
885	12189	1568
886	12221	1557
887	12257	1546
888	12274	1532
889	12303	1520
890	12314	1506
891	12326	1492
892	12337	1478
893	12400	1470
894	12444	1459
895	12462	1446
896	12490	1434
897	12576	1428
898	12608	1416
899	12626	1402
900	12651	1390
901	12775	1388
902	12826	1377
903	12855	1365
904	12867	1350
905	12918	1340
906	12933	1326
907	12942	1311
908	12952	1296
909	12975	1283
910	12990	1269
911	13000	1254
912	13008	1239
913	13016	1224
914	13040	1211
915	13072	1198
916	13089	1184
917	13099	1170
918	13115	1155
919	13125	1141
920	13136	1126
921	13152	1112
922	13165	1098
923	13174	1083
924	13221	1072
925	13230	1057
926	13239	1042
927	13272	1029
928	13282	1015
929	13290	1000
930	13298	985
931	13325	972
932	13336	957
933	13345	943
934	13354	928
935	13365	913
936	13375	899
937	13383	884
938	13391	869
939	13402	855
940	13426	841
941	13442	827
942	13454	813
943	13462	798
944	13478	784
945	13489	770
946	13496	755
947	13506	740
948	13513	726
949	13526	711
950	13543	697
951	13552	683
952	13561	668
953	13569	654
954	13577	639
955	13585	625
956	13598	611
957	13608	596
958	13617	582
959	13632	568
960	13640	553
961	13647	539
962	13657	524
963	13664	510
964	13673	495
965	13682	481
966	13691	467
967	13701	452
968	13709	438
969	13717	424
970	13740	410
971	13756	396
972	13769	382
973	13786	368
974	13797	353
975	13806	339
976	13816	325
977	13825	311
978	13835	296
979	13846	282
980	13858	268
981	13866	254
982	13874	239
983	13884	225
984	13893	211
985	13960	198
986	13973	184
987	13994	169
988	14077	156
989	14092	142
990	14103	128
991	14112	113
992	14200	100
993	14209	85
994	14216	71
995	14232	57
996	14305	43
997	14342	28
998	14370	14
999	14390	0
